schema,object_type,object_name,domain,rows,total_bytes,rls_enabled,force_rls,policy_count,anon_privileges,authenticated_privileges,service_role_privileges,code_references,migration_origin,status,risk,recommended_action
public,table,bookings_booking_allocations,bookings,440,294912,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260918000000_bookable_resource_foundation.sql:100,active_canonical,low,retain
public,table,bookings_booking_notes,bookings,-1,49152,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727080000_stage7_bookings_kernel.sql:69,active_canonical,low,retain
public,table,bookings_booking_status_history,bookings,1328,778240,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727080000_stage7_bookings_kernel.sql:56,active_canonical,low,retain
public,table,bookings_bookings,bookings,967,819200,true,true,3,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727080000_stage7_bookings_kernel.sql:4,active_canonical,low,retain
public,table,bookings_policies,bookings,775,253952,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260730000000_stage5_workforce_booking_providers.sql:84,active_canonical,low,retain
public,table,bookings_resources,bookings,396,245760,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260918000000_bookable_resource_foundation.sql:39,active_canonical,low,retain
public,table,business_employee_location_assignments,business,28,122880,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/services/employee*.py; models.py,infra/supabase/migrations/20260727040000_stage3_location_people_kernel.sql:49,active_overlap_review,medium,decide employee/workforce convergence after usage migration
public,table,business_employees,business,17,90112,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/services/employee*.py; models.py,infra/supabase/migrations/20260727040000_stage3_location_people_kernel.sql:21,active_overlap_review,medium,decide employee/workforce convergence after usage migration
public,table,business_invitations,business,651,491520,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260727020000_stage2d_business_invitations.sql:3,active_canonical,low,retain
public,table,business_locations,business,9342,4038656,true,true,2,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,DELETE;INSERT;REFERENCES;SELECT;TRIGGER;TRUNCATE;UPDATE,python/core/platform_core/models.py,infra/supabase/migrations/20260713010000_stage1e_platform_foundation.sql:44,active_canonical,low,retain
